ratio_A,ratio_B,ratio_C,ratio_D,ratio_E,Time,crystallized,diffusion,Lewis-base,Lewis-acid,topology,halogen-bond,π-stacking,anion-π,cation-π,hydrogen-bond,adsorption,crystallized_citydistance,Gibbis  free energy ΔG,reorganization,activation-energy,exciton,dipoles,averageC_Cbondlength,max_distance,distance_functiongroup_moleculecenter,total dipole moment,α-homo,α-lumo,α-gap,main_chain_angle,polaron_Euclidean distance,bipolaron_Euclidean distance,stability
0.55,0.4,0.05,0,0,200,0.2891681,0.17032835,0.3470121,0.27469912,0.039891664,0.30342743,0.19102857,0.21867229,0.16289292,0.28852907,0.1713365,58.855568,0.25463226,0.33761567,0.05882393,0.09936206,0.19213136,1.331,3.446,3.38,3.711557684,-6.323925886,0.976888723,7.300814609,108.201,5.8099732,5.837662,0
0.55,0.4,0.05,0,0,200,0.2338542,0.36267725,0.379358,0.39998886,0.12915032,0.3239101,0.16994599,0.18719886,0.2204752,0.28367442,0.24531871,52.849228,0.12516917,0.21386267,0.16543618,0.12591554,0.09467515,0,1.416,0.708,1.702982926,-7.115777191,9.104929438,1.989152247,109.528,5.176895,5.193013,0
0.55,0.4,0.05,0,0,200,0.2523723,0.27163246,0.35114917,0.3496335,0.0932817,0.25271022,0.14433776,0.15654619,0.17898497,0.1979468,0.20840849,52.269844,0.16987887,0.18284288,0.08173973,0.10836375,0.07566323,1.496,2.415,1.2885,4.383543953,-7.485852027,0.149662618,7.635514645,110.681,5.3825564,5.454793,0
0.55,0.4,0.05,0,0,200,0.3163674,0.21692048,0.5509054,0.4582468,0.08914582,0.34757385,0.24125771,0.2768237,0.2994455,0.31498066,0.34558126,43.56707,0.43618003,0.24111076,0.3363514,0.22256903,0.16216591,1.4435,4.939,3.599,1.514821994,-6.547059243,-0.106124402,6.440934841,120.005,4.1377597,4.234555,0
0.55,0.4,0.05,0,0,200,0.39562592,0.21889798,0.4774157,0.39896667,0.14783229,0.32080993,0.20314427,0.16693337,0.18796168,0.32104516,0.27035624,41.258087,0.2923783,0.17378397,0.22340901,0.12992816,0.13139553,1.4325,4.608,2.31,1.642473712,-7.295372332,0.323815482,7.619187814,109.012,4.372036,4.471086,0
0.55,0.4,0.05,0,0,200,0.24463026,0.17524453,0.45565528,0.44131556,0.08134074,0.3780813,0.19294438,0.31764308,0.30094874,0.355196,0.24383241,41.258087,0.36982626,0.31714594,0.16592851,0.10545802,0.2390289,1.329,3.442,3.376,4.582111709,-7.257276393,0.242181327,7.49945772,108.046,5.0420794,5.0704355,0
0.55,0.4,0.05,0,0,200,0.20769301,0.13145919,0.31476283,0.26237375,0.027650328,0.28831023,0.1989125,0.1495871,0.1784441,0.32352895,0.26629362,54.477463,0.2534911,0.26805413,0.12348795,0.121478155,0.15214379,1.462,2.622,1.311,3.806714,-8.889959496,0.949677338,9.839636834,0,5.10171,5.2850723,0
0.55,0.4,0.05,0,0,200,0.17050672,0.2096026,0.4021522,0.36627907,0.071562804,0.27189562,0.12209352,0.1605502,0.18135364,0.24041168,0.18473786,59.58348,0.28446987,0.11835112,0.12795858,0.09975153,0.07873218,1.522,3.754,2.399,2.430383085,-6.873595864,1.741528643,8.615124507,111.466,5.5814543,5.5127635,0
0.55,0.4,0.05,0,0,200,0.26586318,0.39257458,0.35958245,0.29113498,0.087440826,0.27219734,0.20041957,0.17443451,0.20517577,0.20517577,0.22448029,53.599255,0.17952137,0.23763318,0.19151883,0.14935963,0.14935963,1.54,6.343,0,6.59E-05,-8.089944775,2.506168563,10.59611334,109.566,5.399006,5.496795,0
0.55,0.4,0.05,0,0,200,0.15322718,0.28521305,0.3710269,0.3432103,0.17683432,0.30811676,0.19497465,0.24375004,0.2878781,0.2878781,0.22238772,53.599255,0.17588313,0.11529268,0.16471665,0.13966168,0.13966168,1.529,8.897,0,7.49E-05,-7.804225232,2.462630347,10.26685558,113.429,5.890227,5.8913555,0
0.55,0.4,0.05,0,0,200,0.239494,0.1251673,0.31155258,0.2785592,0.12268217,0.23968504,0.15568449,0.18836935,0.13890532,0.13890532,0.22572982,54.601036,0.24501918,0.28033003,0.15270373,0.15504956,0.15504956,1.521,2.52,1.424,1.598439424,-7.02597962,2.081670956,9.107650576,111.879,5.5048127,5.505179,0
0.55,0.4,0.05,0,0,200,0.19151977,0.19854699,0.36603802,0.40285376,0.0954231,0.27941313,0.124812506,0.17303288,0.18044788,0.18044788,0.21592341,53.724697,0.17814437,0.20626436,0.0735345,0.09113882,0.09113882,1.54,2.492,1.51,1.694015447,-7.066796697,2.095276649,9.162073346,109.544,5.144089,5.120976,0
